HHID,PN,RSUBHH,QSUBHH,RPN_SP,RCSR,RFAMR,RFINR,RT001,RT002,RT003,RT004M1,RT004M2,RT004M3,RT004M4,RT004M5,RT004M6,RT004M7,RT004M8,RT004M9,RT004M10,RT005,RT006,RT007M1,RT007M2,RT007M3,RT007M4,RT007M5,RT007M6,RT007M7,RT007M8,RT008,RT011,RT012,RT013,RT014,RT015,RT016,RT017M1,RT017M2,RT017M3,RT017M4,RT017M5,RT017M6,RT017M7,RT017M8,RT017M9,RT018,RT019,RT020,RT021,RT022,RT023,RT024,RT025,RT026,RT027,RT028,RT029M1,RT029M2,RT029M3,RT029M4,RT029M5,RT029M6,RT029M7,RT031,RT032,RT033,RT034,RT035,RT036,RT037,RT038,RT039,RT040,RT041,RT042,RT043,RT044,RT252,RT245,RT246,RT247M1,RT247M2,RT247M3,RT247M4,RT248M1,RT248M2,RT248M3,RT248M4,RT248M5,RT248M6,RT250,RT251,RT254,RT255,RT256M1,RT256M2,RT256M3,RT257,RT258M1,RT258M2,RT258M3,RT047,RCOVFLAG,RTMODE,RVDATE,RVERSION
b'054796',b'010',b'1',b'1',,1.0,1.0,1.0,1.0,1.0,1.0,96.0,,,,,,,,,,8.0,5.0,,,,,,,,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,,8.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,1.0,11.0,1.0
b'054829',b'010',b'0',b'0',b'020',1.0,1.0,1.0,1.0,1.0,1.0,93.0,,,,,,,,,,,5.0,,,,,,,,,5.0,1.0,1.0,6000.0,,,,3.0,4.0,,,,,,,,1.0,,,,,,99998.0,,51.0,99.0,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,1.0,1.0,4.0,3.0,,,4.0,,,,,,1.0,5.0,,,,,,,,,,1.0,,1.0,3.0,1.0
b'054829',b'020',b'0',b'0',b'010',5.0,5.0,5.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,2.0,10000.0,,,,91.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,5.0,1.0,3.0,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,3.0,1.0
b'055000',b'040',b'0',b'0',,1.0,1.0,1.0,1.0,1.0,1.0,5.0,,,,,,,,,,,5.0,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,5.0,1.0,5.0,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,2.0,1.0
b'055032',b'010',b'0',b'0',,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,1.0,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,1.0,1.0,1.0
b'055096',b'020',b'0',b'0',,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,5000.0,,,,5.0,3.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,,1.0,4.0,,,,3.0,5.0,7.0,,,,5.0,,,,,,,,,,,1.0,,1.0,11.0,1.0
b'055145',b'010',b'0',b'0',,1.0,5.0,1.0,1.0,1.0,1.0,96.0,,,,,,,,,,5.0,5.0,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,5.0,1.0,3.0,,,,,,,,,,1.0,5.0,,,,,,,,,,1.0,,2.0,1.0,1.0
b'055151',b'010',b'0',b'0',b'020',5.0,1.0,5.0,1.0,1.0,1.0,3.0,7.0,,,,,,,,,1.0,5.0,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,350000.0,,,,2.0,,,,1.0,,1.0,3.0,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,10.0,1.0
b'055151',b'020',b'0',b'0',b'010',1.0,5.0,1.0,1.0,1.0,1.0,96.0,,,,,,,,,,1.0,5.0,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,400000.0,,,,2.0,,,,1.0,,1.0,4.0,3.0,,,7.0,3.0,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,10.0,1.0
b'055185',b'010',b'1',b'1',,1.0,1.0,1.0,1.0,1.0,1.0,96.0,,,,,,,,,,1.0,5.0,,,,,,,,,5.0,1.0,1.0,200000.0,,,,93.0,,,,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,,1.0,4.0,5.0,,,5.0,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,11.0,1.0
b'055185',b'040',b'2',b'2',,1.0,1.0,1.0,2.0,1.0,1.0,99.0,,,,,,,,,,,1.0,5.0,3.0,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,-8.0,,1.0,4.0,,,,3.0,5.0,,,,,1.0,1.0,,,,,,,,,,,,3.0,10.0,1.0
b'055185',b'041',b'5',b'5',,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,1.0,3.0,1.0
b'055212',b'040',b'0',b'0',,1.0,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,,1.0,4.0,,,,3.0,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,7.0,1.0
b'055250',b'040',b'0',b'0',,1.0,5.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,50000.0,,,,3.0,4.0,97.0,,,,,,,1.0,,,,,,123.0,1.0,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,10.0,1.0
b'055266',b'020',b'0',b'0',b'030',5.0,1.0,5.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,1.0,5.0,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,1.0,7.0,1.0
b'055266',b'030',b'0',b'0',b'020',1.0,5.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,1.0,5.0,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,1.0,7.0,1.0
b'055292',b'010',b'0',b'0',,1.0,1.0,1.0,1.0,1.0,1.0,93.0,,,,,,,,,,,5.0,,,,,,,,,5.0,1.0,1.0,13000.0,,,,8.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,,1.0,4.0,,,,8.0,,,,,,5.0,,,,,,,,,,,1.0,,1.0,10.0,1.0
b'055363',b'010',b'0',b'0',b'040',1.0,5.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,20000.0,,,,91.0,3.0,5.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,1.0,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,1.0,1.0,1.0
b'055363',b'040',b'0',b'0',b'010',5.0,1.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,1.0,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,1.0,1.0,1.0
b'055394',b'010',b'0',b'0',,1.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,4.0,9.0,,,,,,,1.0,5.0,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,,1.0,4.0,,,,4.0,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,7.0,1.0
b'055403',b'030',b'0',b'0',,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,7.0,,,,,,,,1.0,5.0,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,-8.0,5.0,5.0,,,,,,,,,,,5.0,,,,,,,,,,,,,3.0,8.0,1.0
b'055470',b'040',b'0',b'0',,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,,,,,,,,,1.0,5.0,,,,,,,,,5.0,1.0,1.0,500000.0,,,,3.0,4.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,1.0,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,1.0,13.0,1.0
b'055570',b'010',b'0',b'0',,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,5.0,,,,,,,,,5.0,1.0,1.0,24000.0,,,,93.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,-8.0,,1.0,4.0,,,,7.0,,,,,,1.0,1.0,,,,,,,,,,,,3.0,9.0,1.0
b'055574',b'020',b'0',b'0',,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,10000.0,,,,94.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,,1.0,4.0,,,,97.0,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,7.0,1.0
b'055607',b'010',b'0',b'0',,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,5.0,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,1.0,11.0,1.0
b'055630',b'030',b'0',b'0',,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,5.0,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,1.0,10.0,1.0
b'055633',b'031',b'0',b'0',,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,,,,,,,,,1.0,5.0,,,,,,,,,-8.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,-8.0,5.0,1.0,4.0,,,,4.0,3.0,,,,,5.0,,,,,,,,,,,,,4.0,7.0,1.0
b'055634',b'010',b'0',b'0',,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,1.0
b'055654',b'010',b'0',b'0',b'020',5.0,5.0,1.0,1.0,1.0,1.0,9.0,3.0,,,,,,,,,1.0,5.0,,,,,,,,,5.0,1.0,1.0,5000.0,,,,91.0,93.0,,,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,,1.0,4.0,,,,3.0,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,7.0,1.0
b'055654',b'020',b'0',b'0',b'010',1.0,1.0,5.0,1.0,1.0,1.0,96.0,,,,,,,,,,1.0,5.0,,,,,,,,,5.0,1.0,1.0,20000.0,,,,93.0,,,,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,,1.0,4.0,,,,3.0,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,7.0,1.0
b'055720',b'010',b'0',b'0',b'020',5.0,1.0,1.0,1.0,1.0,1.0,96.0,,,,,,,,,,1.0,5.0,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,1.0,1.0,4.0,,,,5.0,3.0,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,6.0,1.0
b'055720',b'020',b'0',b'0',b'010',1.0,5.0,5.0,1.0,1.0,1.0,3.0,5.0,,,,,,,,,1.0,1.0,3.0,,,,,,,,5.0,1.0,1.0,50000.0,,,,91.0,93.0,,,,,,,,1.0,,,,,,1.0,2.0,,,,,,,,,,,5.0,,,,,1.0,50000.0,,,,1.0,1.0,5.0,,1.0,5.0,1.0,4.0,,,,5.0,,,,,,1.0,8.0,,,,,,,,,,1.0,,1.0,6.0,1.0
b'055721',b'020',b'0',b'0',,1.0,1.0,1.0,1.0,1.0,1.0,93.0,,,,,,,,,,,5.0,,,,,,,,,5.0,1.0,1.0,25000.0,,,,3.0,5.0,,,,,,,,1.0,,,,,,170.0,1.0,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,5.0,1.0,4.0,,,,3.0,,,,,,1.0,1.0,,,,,,,,,,1.0,,2.0,1.0,1.0
b'055737',b'010',b'0',b'0',,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,7.0,,,,,,,,1.0,5.0,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,,1.0,4.0,,,,3.0,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,12.0,1.0
b'055884',b'010',b'1',b'1',,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,,1.0,4.0,,,,3.0,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,11.0,1.0
b'055975',b'020',b'0',b'0',,1.0,1.0,1.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,5.0,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,1.0,4.0,1.0
b'056030',b'011',b'2',b'2',,1.0,1.0,1.0,1.0,1.0,1.0,96.0,,,,,,,,,,5.0,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,1.0,1.0,4.0,,,,6.0,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,5.0,1.0
b'056030',b'012',b'5',b'5',,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,5000.0,,,,97.0,,,,,,,,,1.0,,,,,,63.0,1.0,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,1.0,1.0,4.0,,,,97.0,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,3.0,1.0
b'056038',b'020',b'2',b'7',,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,5.0,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,1.0,1.0,4.0,,,,3.0,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,7.0,1.0
b'056038',b'030',b'1',b'7',,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,1.0,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,1.0,1.0,7.0,1.0
b'056041',b'010',b'0',b'0',,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,10000.0,,,,93.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,5.0,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,1.0,11.0,1.0
b'056043',b'010',b'0',b'0',,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,5.0,1.0,4.0,,,,3.0,,,,,,5.0,,,,,,,,,,,1.0,,1.0,3.0,1.0
b'056061',b'010',b'0',b'0',,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,5.0,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,1.0,8.0,1.0
b'056067',b'021',b'2',b'2',,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,5.0,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,1.0,5.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,7.0,1.0
b'056076',b'010',b'0',b'0',,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,4000.0,,,,97.0,,,,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,,1.0,4.0,,,,7.0,5.0,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,7.0,1.0
b'056087',b'020',b'0',b'0',b'030',5.0,5.0,5.0,1.0,1.0,1.0,3.0,,,,,,,,,,,5.0,,,,,,,,,5.0,1.0,2.0,999999998.0,50000.0,50000.0,,91.0,,,,,,,,,1.0,1.0,9999998.0,2501.0,24999.0,,99998.0,,0.0,99999996.0,98.0,91.0,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,,1.0,3.0,4.0,,,3.0,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,11.0,1.0
b'056087',b'030',b'0',b'0',b'020',1.0,1.0,1.0,1.0,1.0,1.0,99.0,,,,,,,,,,,5.0,,,,,,,,,5.0,1.0,9.0,999999999.0,0.0,99999996.0,99.0,99.0,,,,,,,,,1.0,9.0,9999999.0,0.0,99999996.0,99.0,99999.0,,101.0,99999996.0,99.0,99.0,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,,1.0,3.0,4.0,,,3.0,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,11.0,1.0
b'056092',b'010',b'0',b'0',,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,5.0,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3500.0,,,,1.0,1.0,5.0,,1.0,,1.0,4.0,,,,3.0,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,12.0,1.0
b'056117',b'020',b'2',b'2',,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,,5.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,8.0,1.0
b'056117',b'030',b'1',b'1',,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,5.0,,,,,,,,,5.0,1.0,2.0,50000.0,,,,97.0,,,,,,,,,1.0,2.0,50000.0,,,,15.0,1.0,,,,97.0,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,,1.0,5.0,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,8.0,1.0
b'056117',b'031',b'5',b'5',,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,5.0,1.0,1.0,4000.0,,,,3.0,,,,,,,,,1.0,,,,,,160.0,2.0,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,-8.0,5.0,1.0,4.0,,,,3.0,,,,,,1.0,1.0,,,,,,,,,,,,3.0,7.0,1.0
b'056138',b'040',b'0',b'0',,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,10000.0,,,,93.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,1.0,10000.0,,,,5.0,,,,,,,,,1.0,5.0,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,1.0,1.0,7.0,1.0
b'056164',b'010',b'0',b'0',b'020',5.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,1.0,1.0,4.0,,,,93.0,,,,,,1.0,1.0,1.0,8.0,,,,,,,,1.0,,1.0,3.0,1.0
b'056164',b'020',b'0',b'0',b'010',1.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,5.0,1.0,4.0,,,,3.0,,,,,,5.0,,,,,,,,,,,1.0,,1.0,3.0,1.0
b'056182',b'020',b'0',b'0',,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,5.0,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,1.0,1.0,7.0,1.0
b'056211',b'040',b'0',b'0',b'041',1.0,1.0,1.0,2.0,1.0,1.0,93.0,,,,,,,,,,,5.0,,,,,,,,,5.0,1.0,1.0,300000.0,,,,91.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,1.0,100000.0,,,,5.0,,,,,,,,,-8.0,,1.0,3.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,3.0,7.0,1.0
b'056211',b'041',b'0',b'0',b'040',5.0,5.0,5.0,2.0,1.0,1.0,93.0,,,,,,,,,,,5.0,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,-8.0,,1.0,3.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,3.0,7.0,1.0
b'056215',b'020',b'0',b'0',,1.0,1.0,1.0,1.0,1.0,1.0,96.0,,,,,,,,,,1.0,5.0,,,,,,,,,5.0,1.0,1.0,999999998.0,25000.0,25000.0,,93.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,1.0,1.0,4.0,,,,4.0,,,,,,8.0,,,,,,,,,,,1.0,,1.0,3.0,1.0
b'056274',b'010',b'0',b'0',,1.0,1.0,1.0,1.0,1.0,1.0,93.0,,,,,,,,,,,5.0,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,1.0,,1.0,4.0,,,,5.0,,,,,,1.0,5.0,,,,,,,,,,1.0,,1.0,13.0,1.0
b'056296',b'020',b'0',b'0',,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,,,,,,,,,1.0,5.0,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,1.0,1.0,4.0,,,,4.0,,,,,,1.0,1.0,,,,,,,,,,1.0,,2.0,1.0,1.0
b'056323',b'011',b'0',b'0',,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,75000.0,,,,3.0,,,,,,,,,1.0,1.0,10000.0,,,,133.0,1.0,,,,97.0,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,1.0,1.0,4.0,,,,3.0,,,,,,5.0,,,,,,,,,,,1.0,,1.0,1.0,1.0
b'056354',b'030',b'1',b'1',,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,15000.0,,,,3.0,5.0,7.0,,,,,,,1.0,2.0,15000.0,,,,71.0,1.0,,,,3.0,5.0,7.0,,,,,5.0,,,,,5.0,,,,,,,,,1.0,5.0,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,1.0,10.0,1.0
b'056354',b'032',b'5',b'5',,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,5.0,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,1.0,11.0,1.0
b'056444',b'010',b'0',b'0',b'020',5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,50000.0,,,,5.0,91.0,,,,,,,,1.0,,,,,,50.0,1.0,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,5.0,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,1.0,4.0,1.0
b'056444',b'020',b'0',b'0',b'010',1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,30000.0,,,,91.0,5.0,3.0,,,,,,,1.0,,,,,,118.0,1.0,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,5.0,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,1.0,4.0,1.0
b'056458',b'010',b'0',b'0',,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,5.0,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,1.0,4.0,1.0
b'056461',b'040',b'0',b'0',,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,999999998.0,0.0,99999996.0,98.0,3.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,5.0,,,,,8.0,,,,,,,,,1.0,,1.0,4.0,,,,3.0,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,13.0,1.0
b'056469',b'010',b'0',b'0',,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,5.0,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,1.0,1.0,9.0,1.0
b'056489',b'010',b'0',b'0',,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,5.0,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,1.0,5.0,1.0
b'056492',b'010',b'0',b'0',,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0
b'056540',b'011',b'0',b'0',,1.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,10.0,1.0
