HHID,PN,RSUBHH,QSUBHH,RPN_SP,RCSR,RFAMR,RFINR,RT001,RT002,RT003,RT004M1,RT004M2,RT004M3,RT004M4,RT004M5,RT004M6,RT004M7,RT004M8,RT004M9,RT004M10,RT005,RT006,RT007M1,RT007M2,RT007M3,RT007M4,RT007M5,RT007M6,RT007M7,RT007M8,RT008,RT011,RT012,RT013,RT014,RT015,RT016,RT017M1,RT017M2,RT017M3,RT017M4,RT017M5,RT017M6,RT017M7,RT017M8,RT017M9,RT018,RT019,RT020,RT021,RT022,RT023,RT024,RT025,RT026,RT027,RT028,RT029M1,RT029M2,RT029M3,RT029M4,RT029M5,RT029M6,RT029M7,RT031,RT032,RT033,RT034,RT035,RT036,RT037,RT038,RT039,RT040,RT041,RT042,RT043,RT044,RT252,RT245,RT246,RT247M1,RT247M2,RT247M3,RT247M4,RT248M1,RT248M2,RT248M3,RT248M4,RT248M5,RT248M6,RT250,RT251,RT254,RT255,RT256M1,RT256M2,RT256M3,RT257,RT258M1,RT258M2,RT258M3,RT047,RCOVFLAG,RTMODE,RVDATE,RVERSION
b'010325',b'020',b'0',b'0',,1.0,1.0,1.0,1.0,1.0,1.0,93.0,,,,,,,,,,,5.0,,,,,,,,,5.0,1.0,1.0,2500.0,,,,93.0,,,,,,,,,1.0,,,,,,23.0,1.0,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,,1.0,4.0,,,,6.0,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,7.0,1.0
b'010372',b'010',b'0',b'0',,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,999999998.0,0.0,49999.0,98.0,97.0,,,,,,,,,1.0,2.0,9999998.0,25000.0,25000.0,,99998.0,,101.0,199.0,,97.0,,,,,,,5.0,,,,,1.0,3000.0,,,,1.0,7.0,5.0,,1.0,,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,1.0,1.0,7.0,1.0
b'010397',b'010',b'0',b'0',,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,7.0,,,,,,,,1.0,2.0,3.0,5.0,7.0,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,,1.0,5.0,6.0,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,7.0,1.0
b'010404',b'010',b'0',b'0',,1.0,1.0,1.0,1.0,1.0,1.0,93.0,,,,,,,,,,,5.0,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,1.0,1.0,4.0,,,,5.0,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,4.0,1.0
b'010451',b'010',b'0',b'0',b'020',5.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,7.0,,,,,,,,1.0,5.0,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,1.0,1.0,3.0,4.0,,,3.0,7.0,5.0,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,4.0,1.0
b'010451',b'020',b'0',b'0',b'010',1.0,5.0,5.0,1.0,1.0,1.0,96.0,,,,,,,,,,1.0,5.0,,,,,,,,,5.0,1.0,1.0,10000.0,,,,91.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,1.0,1.0,9.0,3.0,4.0,,93.0,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,4.0,1.0
b'010453',b'020',b'0',b'0',,1.0,1.0,1.0,1.0,1.0,1.0,96.0,,,,,,,,,,1.0,5.0,,,,,,,,,5.0,1.0,1.0,999999998.0,50001.0,99999996.0,98.0,93.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,5.0,1.0,4.0,,,,4.0,6.0,,,,,1.0,8.0,,,,,,,,,,1.0,,1.0,4.0,1.0
b'010458',b'020',b'0',b'0',b'030',1.0,5.0,5.0,1.0,1.0,1.0,4.0,3.0,,,,,,,,,1.0,5.0,,,,,,,,,5.0,1.0,1.0,20000.0,,,,97.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,,5.0,,,,,,,,,,,1.0,5.0,,,,,,,,,,1.0,,1.0,10.0,1.0
b'010458',b'030',b'0',b'0',b'020',5.0,1.0,1.0,1.0,1.0,1.0,96.0,,,,,,,,,,1.0,1.0,3.0,,,,,,,,5.0,1.0,1.0,36000.0,,,,91.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,,1.0,3.0,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,11.0,1.0
b'010477',b'010',b'0',b'0',b'020',5.0,5.0,1.0,1.0,1.0,1.0,93.0,,,,,,,,,,,5.0,,,,,,,,,5.0,1.0,1.0,50000.0,,,,91.0,,,,,,,,,1.0,,,,,,2000.0,2.0,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,,1.0,4.0,,,,7.0,,,,,,5.0,,,,,,,,,,,1.0,,1.0,11.0,1.0
b'010477',b'020',b'0',b'0',b'010',1.0,1.0,5.0,1.0,1.0,1.0,96.0,,,,,,,,,,1.0,5.0,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,1.0,11.0,1.0
b'010481',b'010',b'0',b'0',b'020',1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,2.0,3.0,,,,,,,,5.0,1.0,4.0,95000.0,,,,91.0,3.0,,,,,,,,1.0,2.0,90000.0,,,,4500.0,2.0,,,,91.0,3.0,,,,,,5.0,,,,,5.0,,,,,,,,,-8.0,,5.0,,,,,,,,,,,5.0,,,,,,,,,,,,,3.0,7.0,1.0
b'010481',b'020',b'0',b'0',b'010',5.0,5.0,5.0,1.0,1.0,1.0,3.0,,,,,,,,,,,5.0,,,,,,,,,5.0,1.0,4.0,7000.0,,,,91.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,-8.0,,5.0,,,,,,,,,,,5.0,,,,,,,,,,,,,4.0,7.0,1.0
b'010482',b'010',b'0',b'0',,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,5.0,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,1.0,13.0,1.0
b'010533',b'011',b'1',b'1',,1.0,1.0,1.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,3.0,999999999.0,0.0,99999996.0,99.0,99.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,,1.0,3.0,4.0,,,5.0,,,,,,1.0,9.0,,,,,,,,,,3.0,,1.0,13.0,1.0
b'010537',b'010',b'0',b'0',b'011',1.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2500.0,,,,9.0,91.0,,,,,,,,1.0,,,,,,67.0,1.0,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,1.0,1.0,4.0,,,,9.0,97.0,,,,,5.0,,,,,,,,,,,1.0,,1.0,6.0,1.0
b'010537',b'011',b'0',b'0',b'010',5.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,12000.0,,,,91.0,17.0,,,,,,,,1.0,1.0,2500.0,,,,33.0,1.0,,,,91.0,17.0,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,,1.0,4.0,,,,9.0,97.0,,,,,5.0,,,,,,,,,,,1.0,,1.0,7.0,1.0
b'010571',b'010',b'0',b'0',,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,35000.0,,,,5.0,9.0,7.0,3.0,,,,,,1.0,2.0,35000.0,,,,300.0,1.0,,,,3.0,5.0,7.0,9.0,,,,5.0,,,,,5.0,,,,,,,,,1.0,5.0,1.0,4.0,,,,5.0,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,1.0,1.0
b'010577',b'010',b'7',b'7',,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,,,,,,,,,5.0,1.0,3.0,4.0,,,,,,,5.0,1.0,2.0,10000.0,,,,94.0,,,,,,,,,1.0,2.0,10000.0,,,,25.0,1.0,,,,97.0,,,,,,,1.0,10000.0,,,,1.0,3000.0,,,,1.0,7.0,1.0,3000.0,1.0,,1.0,6.0,7.0,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,7.0,1.0
b'010648',b'010',b'0',b'0',b'020',5.0,5.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,10000.0,,,,91.0,97.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,5.0,1.0,3.0,4.0,,,97.0,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,1.0,1.0
b'010648',b'020',b'0',b'0',b'010',1.0,1.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,10000.0,,,,97.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,1.0,1.0,97.0,,,,,,,,,,5.0,,,,,,,,,,,1.0,,2.0,1.0,1.0
b'010708',b'030',b'7',b'7',,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,1.0
b'010740',b'010',b'0',b'0',,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,10000.0,,,,7.0,,,,,,,,,1.0,,,,,,70.0,1.0,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,1.0,12.0,1.0
b'010769',b'040',b'0',b'0',,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,5.0,,,,,,,,,5.0,1.0,1.0,20000.0,,,,3.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,1.0,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,1.0,13.0,1.0
b'010773',b'020',b'0',b'0',b'030',1.0,1.0,5.0,1.0,1.0,1.0,3.0,5.0,,,,,,,,,1.0,5.0,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,,1.0,3.0,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,7.0,1.0
b'010773',b'030',b'0',b'0',b'020',5.0,5.0,1.0,3.0,1.0,1.0,3.0,5.0,,,,,,,,,1.0,5.0,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,,1.0,3.0,4.0,,,3.0,5.0,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,7.0,1.0
b'010818',b'010',b'0',b'0',b'040',1.0,5.0,1.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,1.0,0.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,1.0,200000.0,,,,1.0,1.0,5.0,,-8.0,,1.0,3.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,3.0,7.0,1.0
b'010818',b'040',b'0',b'0',b'010',5.0,1.0,5.0,3.0,1.0,1.0,8.0,10.0,,,,,,,,,1.0,5.0,,,,,,,,,1.0,1.0,1.0,100000.0,,,,91.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,-8.0,,1.0,3.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,3.0,7.0,1.0
b'010893',b'010',b'0',b'0',,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,90000.0,,,,97.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,,1.0,5.0,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,10.0,1.0
b'010917',b'010',b'0',b'0',,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,1.0,13.0,1.0
b'010929',b'010',b'0',b'0',b'040',5.0,5.0,5.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,1.0,5.0,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,1.0,13.0,1.0
b'010929',b'040',b'0',b'0',b'010',1.0,1.0,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,1.0,,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,1.0,12.0,1.0
b'010962',b'010',b'0',b'0',,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,93.0,,,,,,,,,5.0,,,,,,,,,5.0,1.0,2.0,20000.0,,,,3.0,5.0,,,,,,,,1.0,2.0,10000.0,,,,196.0,1.0,,,,3.0,5.0,,,,,,1.0,20000.0,,,,5.0,,,,,,,,,1.0,,1.0,4.0,,,,3.0,5.0,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,7.0,1.0
b'010989',b'010',b'0',b'0',b'020',5.0,5.0,1.0,1.0,1.0,1.0,96.0,,,,,,,,,,5.0,5.0,,,,,,,,,5.0,1.0,2.0,100000.0,,,,91.0,3.0,5.0,7.0,,,,,,1.0,2.0,9999998.0,50001.0,249999.0,,0.0,,,,,93.0,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,1.0,1.0,3.0,4.0,,,3.0,7.0,5.0,,,,1.0,5.0,,,,,,,,,,1.0,,1.0,4.0,1.0
b'010989',b'020',b'0',b'0',b'010',1.0,1.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,10000.0,,,,91.0,,,,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,5.0,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,1.0,4.0,1.0
b'011067',b'020',b'0',b'0',b'030',5.0,1.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,12000.0,,,,91.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,1.0,1.0,3.0,6.0,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,2.0,1.0
b'011067',b'030',b'0',b'0',b'020',1.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,,1.0,3.0,6.0,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,1.0,1.0
b'011071',b'020',b'0',b'0',,1.0,1.0,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,1.0,,1.0,4.0,,,,8.0,,,,,,9.0,,,,,,,,,,,1.0,,1.0,4.0,1.0
b'011141',b'010',b'0',b'0',b'020',5.0,1.0,1.0,1.0,1.0,1.0,96.0,,,,,,,,,,1.0,5.0,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,1.0,4.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,4.0,1.0
b'011141',b'020',b'0',b'0',b'010',1.0,5.0,5.0,1.0,1.0,1.0,96.0,,,,,,,,,,1.0,5.0,,,,,,,,,5.0,1.0,3.0,999999998.0,2501.0,24999.0,,91.0,,,,,,,,,1.0,3.0,9999998.0,2501.0,24999.0,,99998.0,,101.0,99999996.0,98.0,91.0,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,1.0,1.0,4.0,,,,5.0,7.0,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,3.0,1.0
b'011219',b'011',b'0',b'0',,1.0,1.0,1.0,1.0,1.0,1.0,96.0,,,,,,,,,,1.0,5.0,,,,,,,,,5.0,1.0,2.0,999999999.0,0.0,99999996.0,99.0,99.0,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,5.0,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,1.0,4.0,1.0
b'011230',b'010',b'0',b'0',,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,1.0,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,1.0,6.0,1.0
b'011248',b'010',b'0',b'0',,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,5.0,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,1.0,2.0,1.0
b'011253',b'010',b'0',b'0',,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,,1.0,4.0,,,,4.0,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,10.0,1.0
b'011256',b'010',b'0',b'0',,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,30000.0,,,,97.0,,,,,,,,,1.0,,,,,,112.0,1.0,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,1.0,1.0,7.0,,,,,,,,,,1.0,5.0,,,,,,,,,,1.0,,1.0,1.0,1.0
b'011323',b'010',b'0',b'0',,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,5.0,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,1.0,12.0,1.0
b'011333',b'020',b'0',b'0',,1.0,1.0,1.0,1.0,1.0,1.0,96.0,,,,,,,,,,1.0,5.0,,,,,,,,,5.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,5.0,1.0,4.0,,,,5.0,8.0,,,,,1.0,1.0,,,,,,,,,,2.0,,1.0,13.0,1.0
b'011341',b'010',b'0',b'0',,1.0,1.0,1.0,1.0,1.0,1.0,93.0,,,,,,,,,,,5.0,,,,,,,,,5.0,1.0,1.0,7000.0,,,,93.0,,,,,,,,,1.0,,,,,,14.0,1.0,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,1.0,1.0,4.0,,,,3.0,5.0,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,6.0,1.0
b'011377',b'010',b'0',b'0',b'040',5.0,5.0,1.0,1.0,1.0,1.0,96.0,,,,,,,,,,1.0,,,,,,,,,,5.0,1.0,1.0,5000.0,,,,91.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,,5.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,7.0,1.0
b'011377',b'040',b'0',b'0',b'010',1.0,1.0,5.0,1.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,5.0,1.0,2.0,30000.0,,,,91.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,,1.0,3.0,4.0,,,4.0,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,7.0,1.0
b'011378',b'020',b'2',b'2',,1.0,1.0,1.0,2.0,1.0,1.0,3.0,5.0,,,,,,,,,1.0,2.0,5.0,,,,,,,,5.0,1.0,1.0,3000.0,,,,3.0,5.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,-8.0,,1.0,4.0,,,,3.0,,,,,,1.0,1.0,,,,,,,,,,,,3.0,8.0,1.0
b'011466',b'040',b'0',b'0',,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,999999999.0,250001.0,99999996.0,,3.0,,,,,,,,,1.0,,,,,,95.0,1.0,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,5.0,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,1.0,12.0,1.0
